timetable_id,stop_id,stop_sequence
kh_wd_0,1,1
kh_wd_0,2,2
kh_wd_0,3,3
kh_wd_0,4,4
kh_wd_0,5,5
kh_wd_0,6,6
kh_wd_0,7,7
kh_wd_0,8,8
kh_wd_0,9,9
kh_wd_0,10,10
kh_wd_0,11,11
kh_wd_0,12,12
kh_wd_0,13,13
kh_wd_0,14,14
kh_wd_0,15,15
kh_wd_0,16,16
kh_wd_0,17,17
kh_wd_0,18,18
kh_wd_0,19,19
kh_wd_1,19,1
kh_wd_1,18,2
kh_wd_1,17,3
kh_wd_1,16,4
kh_wd_1,15,5
kh_wd_1,14,6
kh_wd_1,9,7
kh_wd_1,13,8
kh_wd_1,12,9
kh_wd_1,11,10
kh_wd_1,10,11
kh_wd_1,9,12
kh_wd_1,8,13
kh_wd_1,7,14
kh_wd_1,6,15
kh_wd_1,5,16
kh_wd_1,4,17
kh_wd_1,3,18
kh_wd_1,2,19
kh_wd_1,1,20
kh_sat_0,1,1
kh_sat_0,2,2
kh_sat_0,3,3
kh_sat_0,4,4
kh_sat_0,5,5
kh_sat_0,6,6
kh_sat_0,7,7
kh_sat_0,8,8
kh_sat_0,9,9
kh_sat_0,10,10
kh_sat_0,11,11
kh_sat_0,12,12
kh_sat_0,13,13
kh_sat_0,14,14
kh_sat_0,15,15
kh_sat_0,16,16
kh_sat_0,17,17
kh_sat_0,18,18
kh_sat_0,19,19
kh_sat_1,19,1
kh_sat_1,18,2
kh_sat_1,17,3
kh_sat_1,16,4
kh_sat_1,15,5
kh_sat_1,14,6
kh_sat_1,9,7
kh_sat_1,13,8
kh_sat_1,12,9
kh_sat_1,11,10
kh_sat_1,10,11
kh_sat_1,9,12
kh_sat_1,8,13
kh_sat_1,7,14
kh_sat_1,6,15
kh_sat_1,5,16
kh_sat_1,4,17
kh_sat_1,3,18
kh_sat_1,2,19
kh_sat_1,1,20
kh_hol_0,1,1
kh_hol_0,2,2
kh_hol_0,3,3
kh_hol_0,4,4
kh_hol_0,5,5
kh_hol_0,6,6
kh_hol_0,7,7
kh_hol_0,8,8
kh_hol_0,9,9
kh_hol_0,10,10
kh_hol_0,11,11
kh_hol_0,12,12
kh_hol_0,13,13
kh_hol_0,14,14
kh_hol_0,15,15
kh_hol_0,16,16
kh_hol_0,17,17
kh_hol_0,18,18
kh_hol_0,19,19
kh_hol_1,19,1
kh_hol_1,18,2
kh_hol_1,17,3
kh_hol_1,16,4
kh_hol_1,15,5
kh_hol_1,14,6
kh_hol_1,9,7
kh_hol_1,13,8
kh_hol_1,12,9
kh_hol_1,11,10
kh_hol_1,10,11
kh_hol_1,9,12
kh_hol_1,8,13
kh_hol_1,7,14
kh_hol_1,6,15
kh_hol_1,5,16
kh_hol_1,4,17
kh_hol_1,3,18
kh_hol_1,2,19
kh_hol_1,1,20
